,Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares
3245,TZACU,Tenzing Acquisition Corp. - Units,S,N,N,100.0,N,N
3246,TZACW,Tenzing Acquisition Corp. - Warrants,S,N,N,100.0,N,N
3247,TZOO,Travelzoo - Common Stock,Q,N,N,100.0,N,N
3248,UAE,iShares MSCI UAE ETF,G,N,N,100.0,Y,N
3249,UAL,"United Airlines Holdings, Inc. - Common Stock",Q,N,N,100.0,N,N
3250,UBCP,"United Bancorp, Inc. - Common Stock",S,N,N,100.0,N,N
3251,UBFO,United Security Bancshares - Common Stock,Q,N,N,100.0,N,N
3252,UBOH,"United Bancshares, Inc. - Common Stock",G,N,N,100.0,N,N
3253,UBSI,"United Bankshares, Inc. - Common Stock",Q,N,N,100.0,N,N
3254,UBX,"Unity Biotechnology, Inc. - Common Stock",Q,N,N,100.0,N,N
3255,UCBI,"United Community Banks, Inc. - Common Stock",Q,N,N,100.0,N,N
3256,UCTT,"Ultra Clean Holdings, Inc. - Common Stock",Q,N,N,100.0,N,N
3257,UEIC,Universal Electronics Inc. - Common Stock,Q,N,N,100.0,N,N
3258,UEPS,"Net 1 UEPS Technologies, Inc. - Common Stock",Q,N,N,100.0,N,N
3259,UFCS,"United Fire Group, Inc - Common Stock",Q,N,N,100.0,N,N
3260,UFO,Procure Space ETF,G,N,N,100.0,Y,N
3261,UFPI,"Universal Forest Products, Inc. - Common Stock",Q,N,N,100.0,N,N
3262,UFPT,"UFP Technologies, Inc. - Common Stock",S,N,N,100.0,N,N
3263,UG,"United-Guardian, Inc. - Common Stock",G,N,N,100.0,N,N
3264,UGLD,Credit Suisse AG - VelocityShares 3x Long Gold ETN,G,N,N,100.0,N,N
